ăbăcus, i, m. |1|ăbăcus|ăbăc||
ăbălĭēno, as, are |17|ăbălĭēno|ăbălĭēn|ăbălĭēnāv|ăbălĭēnāt
abcīdo, is, ere, cidi, cisum |19|ābcīdo|ābcīd|ābcīd|ābcīs
abdĭco, as, are |17|ābdĭco|ābdĭc|ābdĭcāv|ābdĭcāt
abdīco, is, ere, dixi, dictum |19|ābdīco|ābdīc|ābdīx|ābdīct
abdōmĕn, inis, n. |7|ābdōmĕn|ābdōmĭn||
abdo, is, ere, didi, ditum |19|ābdo|ābd|ābdĭd|ābdĭt
Abducillus, i, m. |1|Ābducīllus|Ābducīll||
abdūco, is, ere, duxi, ductum |19|ābdūco|ābdūc|ābdūx|ābdūct
ăbĕo, is, ire, ii, itum |23|ăbĕo|ăb|ăbĭ|ăbīt
ăberro, as, are |17|ăbērro|ăbērr|ăbērrāv|ăbērrāt
ăbhinc, adv. |30|ăbhīnc|||
ăbhorrens, entis |14|ăbhōrrēns|ăbhōrrēnt|ăbhōrrēntĭōr|ăbhōrrēntīssĭm
ăbhorrĕo, es, ere, horrui, - |18|ăbhōrrĕo|ăbhōrr|ăbhōrru|
ābĭcĭo, is, ere, abieci, abiectum |20|ābĭcĭo|ābĭc|ābjēc|ābjēct
ăbĭēs, ietis, f. |5|ăbĭēs|ăbĭēt||
ăbĭgo, is, ere, egi, actum |19|ăbĭgo|ăbĭg|ăbēg|ăbāct
ăbĭtus, us, m. |9|ăbĭtus|ăbĭt||
abjĭcĭo, is, ere, ieci, iectum |20|ābjĭcĭo|ābjĭc|ābjēc|ābjēct
abjūro, as, are |17|ābjūro|ābjūr|ābjūrāv|ābjūrāt
ablēgo, as, are |17|ā̆blēgo|ā̆blēg|ā̆blēgāv|ā̆blēgāt
ablŭo, is, ere, lui, lutum |19|ā̆blŭo|ā̆blŭ|ā̆blŭ|ā̆blūt
abnĕgo, as, are |17|ābnĕgo|ābnĕg|ābnĕgāv|ābnĕgāt
